Product Name,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17
Flora Light 40% Fat Spread 500g,39.99,39.99,39.99,23.43,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99
Powerade Jagged Ice Sports Drink 500ml x 6,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,75.99,73.99,73.99,73.99,73.99,66.99,66.99,73.99
Liqui-fruit Clear Apple Fruit Juice Blend 1l,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99
Coca-Cola 1l,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
Iwisa Maize Meal Super 2.5kg,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,26.99,26.99,26.99,26.99,26.99,26.99
Tastic Rice 2kg,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99
PnP Large Eggs 30s,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,53.99,53.99,53.99,53.99,53.99,53.99,53.99,53.99,53.99,53.99,53.99,53.99,53.99,64.99,64.99,64.99,64.99,64.99,64.99
Sunfoil Sunflower Oil 2l,74.99,80.19,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99
PnP Whole Chicken - Avg Weight 1.2kg,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15,114.15
Freshpak Rooibos Tagless Teabags 80s,41.99,30.39,41.99,30.39,30.39,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,44.99,44.99,44.99,44.99,44.99,44.99,39.99,39.99,30.39,30.39,39.99
PnP Chocolate Brownie Flavoured Ice Cream 2l,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,59.99,59.99,59.99,59.99,59.99,59.99
Kellogg's Corn Flakes 750g,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,42.61,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99
Koo Baked Beans in Tomato Sauce 410g,12.99,12.99,12.99,11.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99
Dettol Soap Cooling 175g,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99
Johnson's Baby Soap 175g,,,,,,,,,,,,,,,,,,,,,,,,,,,18.99
Tetmosal 5% Soap,,,,,,,,,,,,,,,,,,,,,,,,,,,27.99
Cobra Paste White 875ml,,,,,,,,,,,,,,,,,,,,,,,,,,,95.99
Fatti's & Moni's Pasta Screws 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,24.99
Aquafresh Big Teeth Paste 50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99
Kiwi Paste Shoe Polish Black 50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99
Head & Shoulders Shampoo Sooth Care 400ml,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99
Vaseline Body Lotion Aloe Soothe 400ml,,,,,,,,,,,,,,,,,,,,,,,,,,,46.99
Serena Linguine Pasta 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,26.99
Colgate Herbal Toothpaste 100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,20.99
Colgate Max White Toothpaste 75ml,,,,,,,,,,,,,,,,,,,,,,,,,,,41.99
"Colgate Herbal White, Whitening Toothpaste 100ml",,,,,,,,,,,,,,,,,,,,,,,,,,,20.99
Colgate Active Salt Antigerm Toothpaste 75ml,,,,,,,,,,,,,,,,,,,,,,,,,,,15.99
Twinsaver Facial Tissue White 180s,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99
Twinsaver Facial Tissue Summer 120ea,,,,,,,,,,,,,,,,,,,,,,,,,,,31.99
Duracell Alkaline Batteries Plus Power 9V,,,,,,,,,,,,,,,,,,,,,,,,,,,84.99
Ouma Plain Rusk Sliced 450g,,,,,,,,,,,,,,,,,,,,,,,,,,,47.99
Domestos Multipurpose Thick Bleach Lavender Blast 750ml,,,,,,,,,,,,,,,,,,,,,,,,,,,21.99
Nestle Nido 3+ Pre-School Milk Honey 900g,,,,,,,,,,,,,,,,,,,,,,,,,,,164.99
Fry's Traditional-Style Vegetarian Burger 320g,,,,,,,,,,,,,,,,,,,,,,,,,,,42.99
Pineware Steam & Spray Iron Psi60,,,,,,,,,,,,,,,,,,,,,,,,,,,152.91
Mellerware Kettle Corded 1.7l Plastic Black,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
Top One Corned Meat 300g,,,,,,,,,,,,,,,,,,,,,,,,,,,25.99
Deep Heat Ointment Rub 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,79.45
Impala Special Maize Meal 2.5kg,,,,,,,,,,,,,,,,,,,,,,,,,,,23.99
Iwisa Maize Meal Super 2.5kg,,,,,,,,,,,,,,,,,,,,,,,,,,,26.99
